"","WellName","Canx","Dnajc5","Egfr","Errfi1","Gapdh","Kpnb1","Myc","Nras","P53","Rab7a","Rpap3","RhoA","Sec16a","Slc2a1"
"59","H23",23.5135408740741,92.8898310502283,167.69546443662,187.631870157068,166.727514976959,161.261575382003,104.245869581994,92.862670977918,94.3524401785714,140.947051477833,NA,NA,14.0293126984127,27.6272061023622
"60","I23",24.0756225997046,90.1823925,163.491321302817,177.808869354839,170.627690990991,155.851775,102.515865008385,98.8159503184713,96.3252158273381,148.697203789474,NA,NA,13.8602341830065,24.3768544158879
"61","J23",24.1223473621461,92.3203890410959,166.571765919283,193.774524489796,167.491112709832,164.637992125984,103.515224840764,90.5426995726496,84.7026066666667,134.280657324841,NA,NA,14.1598808280255,25.7311707936508
"62","K23",21.5857657053292,100.605042889391,169.440008294931,196.189444466019,178.915436326531,159.036808979592,99.8828738680466,92.8589217391304,123.339742307692,134.166852482269,NA,NA,13.9563672026966,23.949266939759
"63","L23",22.2661467548619,100.910261124122,161.51983837535,188.336723409669,162.596775431034,164.158410943396,99.7913561720698,93.6876410169492,86.4159680851064,138.610172699387,NA,NA,14.0880868421053,25.1594620217391
"64","M23",23.8025451939292,101.138921501706,179.033544584838,178.877952380952,170.308385765766,156.779181367925,103.656572742857,101.596742164179,78.4543277777778,142.868479634465,NA,NA,13.8620312173913,27.6328772837022
"65","N23",23.7432653786408,95.0365475308642,169.515586956522,180.844835869565,174.283690594059,153.67367925072,104.621390740741,91.9390520737327,79.3942277777778,140.802738498789,NA,NA,14.2114663636364,25.2263192201835
"66","O23",21.9608985151896,97.8376548387097,171.819331034483,194.84451750503,175.069110430839,152.861046329114,106.143646649616,92.2510743119266,85.0761655144022,144.711384569138,NA,NA,13.5973110134877,24.3078891853933
"67","P23",22.3655862100103,106.800684068627,165.331833264463,193.339724818841,179.457886825054,178.295134852547,104.113673781903,93.0994288288288,82.49353762452,151.030067085427,NA,NA,14.2741440843201,25.8785105037783
"68","P22",22.4557922105263,94.2286528301887,158.973089339019,189.918594057377,165.623022964509,166.376557453936,98.4161080617496,95.5357365079365,83.18200625,139.200382988506,20.2716610084034,26.117258921364,14.2074079347826,24.1267297007481
