"Class","Compound","gene","change_freq","change_int","Cell_line"
"HDAC","MS-275","Rab7a",-0.220724651442171,-0.137253079655587,"MCF7"
"HDAC","MS-275","RhoA",-0.161648623896773,-0.087010787482737,"MCF7"
"HDAC","MS-275","Rpap3",-0.379537918224961,-0.304226496337081,"MCF7"
"HDAC","MS-275","Sec16a",-0.569319055620426,-0.094353004775669,"MCF7"
"HDAC","MS-275","Slc2a1",-0.19545499840201,0.16079977048323,"MCF7"
"HDAC","HNHA","Canx",-0.02443134351029,0.0331030979118001,"MCF7"
"HDAC","HNHA","Dnajc5",-0.098853899460547,-0.0149460686452511,"MCF7"
"HDAC","HNHA","Egfr",0.02292596237448,-0.03279034574503,"MCF7"
"HDAC","HNHA","Errfi1",-0.00488295228885505,-0.022668432097632,"MCF7"
"HDAC","HNHA","Gapdh",-0.074872273360784,0.00284158282877001,"MCF7"
"HDAC","HNHA","Kpnb1",-0.121717937538791,-0.048837710934951,"MCF7"
"HDAC","HNHA","Myc",-0.0807868440449,0.04013803709943,"MCF7"
"HDAC","HNHA","Nras",0.0704770893637701,0.0384087143971299,"MCF7"
"HDAC","HNHA","P53",0.20704730579097,0.0701130164717201,"MCF7"
"HDAC","HNHA","Rab7a",-0.335603982015759,-0.024906801424854,"MCF7"
"HDAC","HNHA","RhoA",-0.00444580048282595,0.0550672206859399,"MCF7"
"HDAC","HNHA","Rpap3",0.17039288879611,-0.073609217109404,"MCF7"
"HDAC","HNHA","Sec16a",0.00680248027989006,-0.02834682807302,"MCF7"
"HDAC","HNHA","Slc2a1",-0.381618297046197,0.73621889620182,"MCF7"
"DNMT","RG-108","Canx",-0.035029084048154,0.0512742981663099,"MCF7"
"DNMT","RG-108","Dnajc5",-0.191909735474062,4.47035573600818e-05,"MCF7"
"DNMT","RG-108","Egfr",-0.00769756323245496,0.0634343227574099,"MCF7"
"DNMT","RG-108","Errfi1",-0.047676642773442,0.02296142321774,"MCF7"
"DNMT","RG-108","Gapdh",-0.096449150752709,-0.027977755714112,"MCF7"
"DNMT","RG-108","Kpnb1",-0.048321607137835,-0.0280186342683481,"MCF7"
"DNMT","RG-108","Myc",0.02406346380184,0.0129751698854601,"MCF7"
"DNMT","RG-108","Nras",0.14423176714072,0.04506999269578,"MCF7"
"DNMT","RG-108","P53",0.16681407003988,0.0209754611731801,"MCF7"
"DNMT","RG-108","Rab7a",-0.211509248924685,0.08659015034407,"MCF7"
"DNMT","RG-108","RhoA",-0.049329943757646,0.13643708115471,"MCF7"
"DNMT","RG-108","Rpap3",0.0248116068303501,-0.060208376653965,"MCF7"
"DNMT","RG-108","Sec16a",0.41854957674489,-0.00947981266511799,"MCF7"
"DNMT","RG-108","Slc2a1",-0.686986863711002,1.56494930722109,"MCF7"
"DNMT","2Õ,3Õ,5Õ-triacetyl-5-Azacytidine","Canx",-0.078082007149793,0.02472323633375,"MCF7"
"DNMT","2Õ,3Õ,5Õ-triacetyl-5-Azacytidine","Dnajc5",-0.156734377311464,-0.034954213272352,"MCF7"
"DNMT","2Õ,3Õ,5Õ-triacetyl-5-Azacytidine","Egfr",0.03293216657685,0.13376676140261,"MCF7"
"DNMT","2Õ,3Õ,5Õ-triacetyl-5-Azacytidine","Errfi1",-0.085460262137115,0.0165303473909,"MCF7"
"DNMT","2Õ,3Õ,5Õ-triacetyl-5-Azacytidine","Gapdh",-0.088517563023209,-0.044279630212266,"MCF7"
"DNMT","2Õ,3Õ,5Õ-triacetyl-5-Azacytidine","Kpnb1",-0.222571707846565,-0.058195141261993,"MCF7"
"DNMT","2Õ,3Õ,5Õ-triacetyl-5-Azacytidine","Myc",0.0399140393636801,0.01574928332516,"MCF7"
"DNMT","2Õ,3Õ,5Õ-triacetyl-5-Azacytidine","Nras",0.40850108419675,0.07469092833626,"MCF7"
"DNMT","2Õ,3Õ,5Õ-triacetyl-5-Azacytidine","P53",0.23950290043362,0.09161249288766,"MCF7"
"DNMT","2Õ,3Õ,5Õ-triacetyl-5-Azacytidine","Rab7a",0.00990961034080007,0.05967762828829,"MCF7"
"DNMT","2Õ,3Õ,5Õ-triacetyl-5-Azacytidine","RhoA",0.02887883384458,0.21397480510604,"MCF7"
"DNMT","2Õ,3Õ,5Õ-triacetyl-5-Azacytidine","Rpap3",0.01306374556718,-0.061509245098053,"MCF7"
"DNMT","2Õ,3Õ,5Õ-triacetyl-5-Azacytidine","Sec16a",0.37202345085078,0.0298571844734099,"MCF7"
"DNMT","2Õ,3Õ,5Õ-triacetyl-5-Azacytidine","Slc2a1",-0.532906924183075,1.24870876244281,"MCF7"
"DNMT","S-Adenosylhomocysteine","Canx",-0.051931132371545,0.03056552390135,"MCF7"
"DNMT","S-Adenosylhomocysteine","Dnajc5",-0.183951072455825,-0.041423072162593,"MCF7"
"DNMT","S-Adenosylhomocysteine","Egfr",-0.00494530012602101,0.0632722304829201,"MCF7"
"DNMT","S-Adenosylhomocysteine","Errfi1",-0.132488644020034,0.00416869254310992,"MCF7"
"DNMT","S-Adenosylhomocysteine","Gapdh",-0.149431348303988,-0.012183240597807,"MCF7"
"DNMT","S-Adenosylhomocysteine","Kpnb1",-0.067993743271731,-0.040145000043765,"MCF7"
"DNMT","S-Adenosylhomocysteine","Myc",-0.152959227419391,0.13801744010768,"MCF7"
"DNMT","S-Adenosylhomocysteine","Nras",0.1736510896515,0.0324053513296501,"MCF7"
"DNMT","S-Adenosylhomocysteine","P53",0.22562503820527,0.09367766798495,"MCF7"
