"Class","Compound","gene","change_het","change_int","Cell_line"
"DNMT","RG-108","P53",-0.148833247466627,0.0209754611731801,"MCF7"
"DNMT","RG-108","Rab7a",-0.203301891625063,0.08659015034407,"MCF7"
"DNMT","RG-108","RhoA",-0.00435206019621504,0.13643708115471,"MCF7"
"DNMT","RG-108","Rpap3",-0.027905980295469,-0.060208376653965,"MCF7"
"DNMT","RG-108","Sec16a",-0.085939832350023,-0.00947981266511799,"MCF7"
"DNMT","RG-108","Slc2a1",0.32922435518901,1.56494930722109,"MCF7"
"DNMT","2Õ,3Õ,5Õ-triacetyl-5-Azacytidine","Canx",-0.037922637706672,0.02472323633375,"MCF7"
"DNMT","2Õ,3Õ,5Õ-triacetyl-5-Azacytidine","Dnajc5",-0.194871927842164,-0.034954213272352,"MCF7"
"DNMT","2Õ,3Õ,5Õ-triacetyl-5-Azacytidine","Egfr",0.16693399441158,0.13376676140261,"MCF7"
"DNMT","2Õ,3Õ,5Õ-triacetyl-5-Azacytidine","Errfi1",-0.21374528952395,0.0165303473909,"MCF7"
"DNMT","2Õ,3Õ,5Õ-triacetyl-5-Azacytidine","Gapdh",-0.247138730284592,-0.044279630212266,"MCF7"
"DNMT","2Õ,3Õ,5Õ-triacetyl-5-Azacytidine","Kpnb1",-0.136911664907446,-0.058195141261993,"MCF7"
"DNMT","2Õ,3Õ,5Õ-triacetyl-5-Azacytidine","Myc",-0.064249365885186,0.01574928332516,"MCF7"
"DNMT","2Õ,3Õ,5Õ-triacetyl-5-Azacytidine","Nras",0.0662154965595301,0.07469092833626,"MCF7"
"DNMT","2Õ,3Õ,5Õ-triacetyl-5-Azacytidine","P53",0.5071161883894,0.09161249288766,"MCF7"
"DNMT","2Õ,3Õ,5Õ-triacetyl-5-Azacytidine","Rab7a",0.0899458614577799,0.05967762828829,"MCF7"
"DNMT","2Õ,3Õ,5Õ-triacetyl-5-Azacytidine","RhoA",0.21788037684661,0.21397480510604,"MCF7"
"DNMT","2Õ,3Õ,5Õ-triacetyl-5-Azacytidine","Rpap3",-0.134926766576948,-0.061509245098053,"MCF7"
"DNMT","2Õ,3Õ,5Õ-triacetyl-5-Azacytidine","Sec16a",0.10879958325667,0.0298571844734099,"MCF7"
"DNMT","2Õ,3Õ,5Õ-triacetyl-5-Azacytidine","Slc2a1",0.0933653633867999,1.24870876244281,"MCF7"
"DNMT","S-Adenosylhomocysteine","Canx",-0.017775121283126,0.03056552390135,"MCF7"
"DNMT","S-Adenosylhomocysteine","Dnajc5",-0.217098813582647,-0.041423072162593,"MCF7"
"DNMT","S-Adenosylhomocysteine","Egfr",0.20804610145495,0.0632722304829201,"MCF7"
"DNMT","S-Adenosylhomocysteine","Errfi1",-0.19643028636645,0.00416869254310992,"MCF7"
"DNMT","S-Adenosylhomocysteine","Gapdh",-0.072452235559753,-0.012183240597807,"MCF7"
"DNMT","S-Adenosylhomocysteine","Kpnb1",-0.091432544572134,-0.040145000043765,"MCF7"
"DNMT","S-Adenosylhomocysteine","Myc",-0.115059210424539,0.13801744010768,"MCF7"
"DNMT","S-Adenosylhomocysteine","Nras",-0.154715394714197,0.0324053513296501,"MCF7"
"DNMT","S-Adenosylhomocysteine","P53",0.22255743317418,0.09367766798495,"MCF7"
"DNMT","S-Adenosylhomocysteine","Rab7a",-0.106624882055943,0.11962200853005,"MCF7"
"DNMT","S-Adenosylhomocysteine","RhoA",0.11955184687553,0.16605771869917,"MCF7"
"DNMT","S-Adenosylhomocysteine","Rpap3",-0.208159334376764,-0.083608396494273,"MCF7"
"DNMT","S-Adenosylhomocysteine","Sec16a",-0.113279943339255,-0.00636594310652605,"MCF7"
"DNMT","S-Adenosylhomocysteine","Slc2a1",0.22123385415923,1.00244583440514,"MCF7"
"Methylase","UNC0224","Canx",-0.096764336903614,0.01313942273822,"MCF7"
"Methylase","UNC0224","Dnajc5",-0.00139306255232796,0.00117419936662011,"MCF7"
"Methylase","UNC0224","Egfr",0.0112241183103801,-0.0196166786140189,"MCF7"
"Methylase","UNC0224","Errfi1",0.58660114965411,0.15014667789336,"MCF7"
"Methylase","UNC0224","Gapdh",-0.187922416587558,-0.030949251591098,"MCF7"
"Methylase","UNC0224","Kpnb1",-0.046932146029577,-0.017335114413326,"MCF7"
"Methylase","UNC0224","Myc",0.02728440702584,0.1263979579791,"MCF7"
"Methylase","UNC0224","Nras",0.55553534503462,0.14706031408305,"MCF7"
"Methylase","UNC0224","P53",0.4991881945234,0.0653213975053899,"MCF7"
"Methylase","UNC0224","Rab7a",-0.10503758451583,-0.00104627729071605,"MCF7"
"Methylase","UNC0224","RhoA",-0.00223479329582099,0.16897599631784,"MCF7"
"Methylase","UNC0224","Rpap3",-0.026660782473439,-0.054892960345083,"MCF7"
"Methylase","UNC0224","Sec16a",0.10407539437161,0.0192030517564401,"MCF7"
"Methylase","UNC0224","Slc2a1",0.43282799092775,0.61288214580788,"MCF7"
"HDAC","Chidamide","Canx",-0.356541400832492,-0.119469490692487,"MCF7"
"HDAC","Chidamide","Dnajc5",-0.270155958966118,-0.065646177708211,"MCF7"
"HDAC","Chidamide","Egfr",-0.06368108953412,0.0533248923521299,"MCF7"
"HDAC","Chidamide","Errfi1",-0.253840999245882,-0.014082589472202,"MCF7"
"HDAC","Chidamide","Gapdh",-0.00419844708952,-0.07127334409937,"MCF7"
"HDAC","Chidamide","Kpnb1",-0.314531831185733,-0.13989985563313,"MCF7"
"HDAC","Chidamide","Myc",-0.130149803738593,-0.0256427324960899,"MCF7"
"HDAC","Chidamide","Nras",-0.446919968071481,-0.028110991667789,"MCF7"
"HDAC","Chidamide","P53",0.26642647571976,-0.013091115540963,"MCF7"
"HDAC","Chidamide","Rab7a",-0.307356588281469,-0.17987321548994,"MCF7"
"HDAC","Chidamide","RhoA",-0.149920408122346,0.0387811854473401,"MCF7"
"HDAC","Chidamide","Rpap3",-0.222054123990944,-0.092523820773945,"MCF7"
"HDAC","Chidamide","Sec16a",-0.249291603611559,-0.069466368266424,"MCF7"
"HDAC","Chidamide","Slc2a1",-0.277090247359465,0.33800690216894,"MCF7"
"HDAC","Tubacin","Canx",-0.105693992548151,0.00401498769990005,"MCF7"
